video_id,title,published_at,views,likes,comments,year,league,engagement_rate,snapshot_date
SLskVYo7zVk,Full Game Highlights | Sue Bird TAKES OVER In 4th Q As Storm Advance To Finals,2018-09-05 18:48:05+00:00,234254,2175,118,2018,WNBA,0.0098,2026-05-26T15:33:24.987933
alVGYeNuhV8,Full Game Highlights | Mystics Punch Their Ticket To First-Ever Finals,2018-09-05 18:06:46+00:00,4041,67,4,2018,WNBA,0.0176,2026-05-26T15:33:24.987933
5IXmwR7ziN0,Top 10 Plays from Game 5 of the Semifinals,2018-09-05 06:40:00+00:00,2396,37,1,2018,WNBA,0.0159,2026-05-26T15:33:24.987933
BlocY7Yp9pM,Best of Sue Bird in Semifinals,2018-09-05 06:14:46+00:00,28153,407,11,2018,WNBA,0.0148,2026-05-26T15:33:24.987933
0lx02W6TD4c,Best Buckets From Storm&#39;s 35-Point q4 In Game 5,2018-09-05 05:45:33+00:00,15180,200,24,2018,WNBA,0.0148,2026-05-26T15:33:24.987933
v8BhjmMi97s,Whitcomb &amp; Clark Record 24 Key Points,2018-09-05 05:40:43+00:00,4026,52,2,2018,WNBA,0.0134,2026-05-26T15:33:24.987933
N3PfJu48w-o,Breanna Stewart Records 28 PTS in Game 5 Victory,2018-09-05 05:36:59+00:00,3043,39,4,2018,WNBA,0.0141,2026-05-26T15:33:24.987933
Bin9tiTVmAE,Mystics Best Assists in Semifinals Game 5,2018-09-05 03:15:39+00:00,1449,34,3,2018,WNBA,0.0255,2026-05-26T15:33:24.987933
e1Qg_18ycBM,EDD &amp; Toliver Push Mystics to Game 5 Win,2018-09-05 02:51:29+00:00,5079,91,12,2018,WNBA,0.0203,2026-05-26T15:33:24.987933
eUvQhVa0nYE,Full Game Highlights | Griner Wins Game 4 Late For Mercury,2018-09-04 22:56:50+00:00,1990,59,4,2018,WNBA,0.0317,2026-05-26T15:33:24.987933
2olDffVi57s,Full Game Highlights | Mystics Force Winner-Take-All Game 5 In ATL,2018-09-04 22:56:27+00:00,3331,42,2,2018,WNBA,0.0132,2026-05-26T15:33:24.987933
R4ZK1WjhYwI,Best of Diana Taurasi 13-0 Record in Elimination Games,2018-09-03 23:32:41+00:00,17818,263,31,2018,WNBA,0.0165,2026-05-26T15:33:24.987933
O6SpUF9GCNg,Relive The Mercury&#39;s 17-Point Comeback To Force Game 5,2018-09-03 00:29:52+00:00,12879,161,38,2018,WNBA,0.0155,2026-05-26T15:33:24.987933
_kvHB6Ri1k4,DeWanna Bonner Notches 27 Points In Game 4 Win,2018-09-03 00:24:32+00:00,1489,25,0,2018,WNBA,0.0168,2026-05-26T15:33:24.987933
